id,dob,gender,country,city,job_title,job_industry,wealth_segment
ID0024,1991-12-28,Female,Vietnam,Ho Chi Minh,Sales Executive,Hospitality,High Net Worth
ID0025,1970-01-03,Female,USA,Los Angeles,Software Engineer,IT,Affluent
ID0026,1991-08-02,Female,Vietnam,Ho Chi Minh,Consultant,Healthcare,High Net Worth
ID0027,1990-06-16,Male,Germany,Berlin,Sales Executive,Retail,Mass Affluent
ID0028,1968-07-04,Male,Australia,Melbourne,Accountant,Construction,Affluent
ID0029,1968-10-30,Female,USA,Los Angeles,Accountant,Retail,Mass Affluent
ID0030,1984-02-05,Male,Germany,Berlin,Marketing Manager,Retail,High Net Worth
ID0031,1962-04-25,Female,USA,New York,HR Specialist,Finance,High Net Worth
ID0032,1963-02-06,Female,Australia,Melbourne,Project Manager,Hospitality,Mass Affluent
ID0033,1971-05-31,Male,France,Paris,Accountant,Marketing,High Net Worth
ID0034,1981-06-21,Female,Canada,Toronto,Data Scientist,Hospitality,High Net Worth
ID0035,1985-01-05,Male,France,Paris,Data Scientist,Hospitality,Affluent
ID0036,1977-07-03,Male,Vietnam,Ho Chi Minh,General Manager,Retail,High Net Worth
ID0037,1964-05-04,Female,Vietnam,Hanoi,HR Specialist,Retail,Affluent
ID0038,1962-05-17,Female,UK,Manchester,Software Engineer,Marketing,Affluent
ID0039,1974-11-27,Male,UK,London,Marketing Manager,Education,Mass Affluent
ID0040,1991-07-22,Male,USA,New York,General Manager,Finance,High Net Worth
ID0041,1970-09-23,Male,USA,New York,Consultant,IT,Affluent
ID0042,1980-01-31,Male,France,Paris,Financial Analyst,IT,High Net Worth
ID0043,1966-07-07,Female,Canada,Vancouver,Software Engineer,Hospitality,Mass Affluent
ID0044,1993-06-20,Male,Vietnam,Ho Chi Minh,Project Manager,Marketing,High Net Worth
ID0045,1999-11-29,Male,Canada,Vancouver,Marketing Manager,Healthcare,Mass Affluent
ID0046,1983-03-31,Female,Australia,Melbourne,Sales Executive,Healthcare,Mass Affluent
ID0047,1961-11-14,Female,UK,London,Marketing Manager,Hospitality,High Net Worth
ID0048,1999-04-04,Male,UK,Manchester,Financial Analyst,Healthcare,Affluent
ID0049,1993-04-14,Male,USA,New York,Project Manager,Hospitality,High Net Worth
ID0050,1965-07-29,Male,France,Paris,Project Manager,Healthcare,Affluent
ID0051,1973-09-09,Female,France,Paris,Marketing Manager,Retail,High Net Worth
ID0052,1962-09-29,Female,USA,New York,Consultant,Education,Mass Affluent
ID0053,1978-01-27,Male,UK,Manchester,Marketing Manager,Marketing,Mass Affluent
ID0054,1995-05-09,Female,UK,Manchester,Marketing Manager,Education,High Net Worth
ID0055,1998-09-13,Female,Australia,Melbourne,HR Specialist,Marketing,Affluent
ID0056,1998-01-17,Male,France,Paris,Financial Analyst,Finance,Affluent
ID0057,1984-11-10,Female,Australia,Melbourne,HR Specialist,Education,Mass Affluent
ID0058,1983-03-15,Female,Vietnam,Ho Chi Minh,Project Manager,Finance,High Net Worth
ID0059,1963-04-28,Male,Vietnam,Hanoi,HR Specialist,Construction,Mass Affluent
ID0060,1965-08-10,Male,Vietnam,Hanoi,Consultant,Construction,High Net Worth
ID0061,1985-05-18,Male,USA,Los Angeles,Software Engineer,IT,High Net Worth
ID0062,1970-08-23,Male,Canada,Toronto,Sales Executive,Finance,Mass Affluent
ID0063,1983-07-31,Male,Germany,Berlin,Sales Executive,Marketing,Mass Affluent
ID0064,1976-08-03,Female,France,Paris,Software Engineer,Education,Mass Affluent
ID0065,1970-11-27,Male,USA,New York,Data Scientist,Healthcare,Affluent
ID0066,1960-05-08,Male,USA,Los Angeles,Consultant,Education,Mass Affluent
ID0067,1993-07-09,Female,Canada,Vancouver,Sales Executive,Marketing,Mass Affluent
ID0068,1989-07-24,Female,Canada,Vancouver,Marketing Manager,Retail,Affluent
ID0069,1978-07-22,Female,UK,London,Financial Analyst,Finance,Mass Affluent
ID0070,1962-06-02,Male,Australia,Melbourne,Marketing Manager,Retail,Mass Affluent
ID0071,1960-10-28,Male,UK,London,Sales Executive,Education,Mass Affluent
ID0072,1981-09-06,Male,UK,Manchester,Project Manager,Retail,Affluent
ID0073,1981-10-22,Female,Germany,Berlin,General Manager,Marketing,High Net Worth
ID0074,1992-01-10,Female,Australia,Melbourne,Marketing Manager,Retail,Affluent
ID0075,1963-09-30,Female,Canada,Vancouver,Consultant,Construction,High Net Worth
ID0076,1975-12-16,Male,France,Paris,Financial Analyst,Hospitality,Mass Affluent
ID0077,1972-05-20,Male,USA,New York,Consultant,Healthcare,Affluent
ID0078,1967-04-30,Female,Canada,Vancouver,Project Manager,Education,Mass Affluent
ID0079,1969-02-18,Female,France,Paris,Data Scientist,Finance,High Net Worth
ID0080,1988-04-19,Male,France,Paris,Project Manager,Healthcare,High Net Worth
ID0081,1996-09-09,Female,Australia,Sydney,Sales Executive,Healthcare,Mass Affluent
ID0082,1965-01-12,Male,USA,Los Angeles,Data Scientist,Construction,Affluent
ID0083,1960-04-29,Female,Australia,Melbourne,General Manager,IT,High Net Worth
ID0084,1961-05-19,Male,Vietnam,Hanoi,HR Specialist,Retail,High Net Worth
ID0085,1976-08-27,Female,Vietnam,Ho Chi Minh,Project Manager,Retail,Mass Affluent
ID0086,1996-12-05,Female,France,Paris,Accountant,IT,Affluent
ID0087,1989-03-31,Female,USA,Los Angeles,Data Scientist,Hospitality,Affluent
ID0088,1977-10-27,Male,Australia,Melbourne,Consultant,Finance,High Net Worth
ID0089,1985-04-01,Female,Australia,Sydney,Financial Analyst,IT,High Net Worth
ID0090,1983-10-21,Male,UK,London,HR Specialist,IT,Affluent
ID0091,1964-04-09,Female,France,Paris,Marketing Manager,IT,Affluent
ID0092,2000-11-27,Male,UK,Manchester,Sales Executive,Hospitality,Mass Affluent
ID0093,1973-04-23,Male,Vietnam,Ho Chi Minh,Accountant,Retail,Affluent
ID0094,1996-09-30,Male,Australia,Melbourne,Accountant,Healthcare,Affluent
ID0095,1994-12-03,Male,Canada,Vancouver,Sales Executive,Construction,Affluent
ID0096,1960-06-05,Male,UK,Manchester,Data Scientist,Hospitality,Mass Affluent
ID0097,1996-11-29,Female,Australia,Melbourne,Sales Executive,Finance,Mass Affluent
ID0098,1969-03-14,Female,Australia,Sydney,Data Scientist,Construction,Mass Affluent
ID0099,1960-01-09,Female,Vietnam,Ho Chi Minh,Consultant,Finance,Mass Affluent
ID0100,1983-01-28,Male,Vietnam,Ho Chi Minh,Project Manager,Healthcare,Affluent
ID0101,1987-08-18,Male,USA,Los Angeles,Consultant,Hospitality,Mass Affluent
ID0102,1976-02-26,Male,Vietnam,Hanoi,Data Scientist,Hospitality,High Net Worth
ID0103,1996-09-25,Female,Australia,Sydney,HR Specialist,Healthcare,High Net Worth
ID0104,1998-11-10,Male,Australia,Melbourne,Software Engineer,Healthcare,High Net Worth
ID0105,1987-04-29,Female,Vietnam,Hanoi,Financial Analyst,Finance,High Net Worth
ID0106,1964-10-05,Female,USA,New York,Consultant,Retail,Affluent
ID0107,1983-08-20,Female,Canada,Vancouver,Financial Analyst,Marketing,Mass Affluent
ID0108,1989-09-23,Male,Vietnam,Ho Chi Minh,Marketing Manager,Finance,Mass Affluent
ID0109,1965-07-13,Female,Canada,Toronto,Accountant,Hospitality,Mass Affluent
ID0110,1987-07-08,Female,Canada,Toronto,HR Specialist,Education,Mass Affluent
ID0111,1973-07-14,Male,USA,New York,General Manager,Hospitality,High Net Worth
ID0112,1997-12-05,Female,USA,Los Angeles,General Manager,Finance,High Net Worth
ID0113,1994-12-28,Female,Germany,Berlin,Consultant,Marketing,Mass Affluent
ID0114,1974-06-21,Male,Vietnam,Ho Chi Minh,Marketing Manager,Marketing,Mass Affluent
ID0115,1977-03-30,Male,Vietnam,Ho Chi Minh,HR Specialist,Retail,Mass Affluent
ID0116,1973-09-13,Male,Canada,Vancouver,Data Scientist,Retail,High Net Worth
ID0117,1962-06-02,Female,Australia,Sydney,Sales Executive,Construction,Mass Affluent
ID0118,1994-10-30,Female,Canada,Vancouver,Sales Executive,IT,Mass Affluent
ID0119,1994-06-03,Female,France,Paris,HR Specialist,Education,Mass Affluent
ID0120,1986-10-27,Female,Australia,Melbourne,HR Specialist,Education,High Net Worth
ID0121,1998-05-31,Male,Canada,Vancouver,Sales Executive,IT,Mass Affluent
ID0122,1968-12-13,Male,USA,New York,Project Manager,Retail,High Net Worth
ID0123,1967-09-19,Female,Australia,Melbourne,General Manager,Finance,High Net Worth
ID0124,1977-09-06,Female,UK,London,General Manager,Construction,High Net Worth
ID0125,1999-07-09,Female,Canada,Toronto,Sales Executive,Construction,Mass Affluent
ID0126,1963-05-09,Female,USA,Los Angeles,Marketing Manager,Finance,High Net Worth
ID0127,1995-03-13,Female,Canada,Toronto,HR Specialist,Marketing,High Net Worth
ID0128,1998-09-01,Male,Vietnam,Hanoi,General Manager,Construction,High Net Worth
ID0129,2000-03-01,Female,Canada,Toronto,Sales Executive,Healthcare,Mass Affluent
ID0130,1995-05-18,Male,Germany,Berlin,Financial Analyst,Healthcare,High Net Worth
ID0131,1969-09-19,Male,Australia,Melbourne,Marketing Manager,IT,Affluent
ID0132,1985-10-14,Female,Vietnam,Ho Chi Minh,General Manager,Hospitality,High Net Worth
ID0133,1985-11-11,Male,UK,Manchester,Marketing Manager,Marketing,Affluent
ID0134,1998-07-02,Male,Canada,Toronto,Software Engineer,Healthcare,High Net Worth
ID0135,1975-08-20,Female,Canada,Vancouver,Sales Executive,Healthcare,Affluent
ID0136,1998-12-29,Male,Canada,Vancouver,Accountant,Construction,High Net Worth
ID0137,1984-06-11,Female,Australia,Melbourne,Financial Analyst,Finance,Affluent
ID0138,1974-08-27,Male,Canada,Toronto,Marketing Manager,Healthcare,Affluent
ID0139,1962-07-11,Male,Canada,Vancouver,Consultant,Retail,Mass Affluent
ID0140,1976-04-30,Male,Vietnam,Ho Chi Minh,Software Engineer,Education,High Net Worth
ID0141,1960-12-05,Male,France,Paris,Marketing Manager,Healthcare,High Net Worth
ID0142,1984-07-29,Male,Canada,Vancouver,Project Manager,Retail,High Net Worth
ID0143,1960-07-08,Male,Australia,Melbourne,HR Specialist,Healthcare,High Net Worth
ID0144,1987-07-23,Male,UK,Manchester,Accountant,Marketing,Affluent
ID0145,1997-11-11,Male,Germany,Berlin,Project Manager,Healthcare,Mass Affluent
ID0146,1962-06-22,Female,Canada,Vancouver,Accountant,Marketing,Mass Affluent
ID0147,1993-08-17,Male,UK,Manchester,Consultant,Retail,Mass Affluent
ID0148,1980-04-29,Male,Vietnam,Hanoi,Marketing Manager,Education,High Net Worth
ID0149,1980-09-06,Female,Australia,Sydney,General Manager,IT,High Net Worth
ID0150,1971-07-05,Male,UK,Manchester,Financial Analyst,Marketing,Affluent
ID0151,1997-07-27,Male,Canada,Vancouver,Consultant,Finance,Affluent
ID0152,1961-12-18,Male,UK,Manchester,Marketing Manager,Healthcare,Affluent
ID0153,1972-10-19,Female,USA,Los Angeles,Software Engineer,Retail,Affluent
ID0154,1978-05-01,Male,Vietnam,Hanoi,General Manager,Education,Affluent
ID0155,1981-09-12,Male,USA,Los Angeles,Project Manager,Retail,High Net Worth
ID0156,1974-08-20,Male,Vietnam,Ho Chi Minh,Data Scientist,Finance,Affluent
ID0157,1998-07-09,Female,USA,Los Angeles,Project Manager,Hospitality,Mass Affluent
ID0158,1990-07-25,Female,UK,London,Sales Executive,Education,Affluent
ID0159,1982-06-25,Female,Vietnam,Hanoi,Software Engineer,Retail,Mass Affluent
ID0160,1971-07-07,Male,Canada,Toronto,Sales Executive,Finance,High Net Worth
ID0161,1980-07-26,Female,Australia,Sydney,Data Scientist,Hospitality,Mass Affluent
ID0162,1987-08-01,Male,USA,New York,Project Manager,Education,High Net Worth
ID0163,1977-02-13,Male,Germany,Berlin,Data Scientist,IT,Affluent
ID0164,1960-04-26,Female,USA,New York,Consultant,Hospitality,Mass Affluent
ID0165,1985-08-28,Female,USA,Los Angeles,Software Engineer,Education,Mass Affluent
ID0166,1984-06-02,Male,UK,Manchester,Data Scientist,Education,High Net Worth
ID0167,1985-03-17,Male,Canada,Toronto,HR Specialist,Retail,Mass Affluent
ID0168,1988-12-23,Male,USA,New York,General Manager,Retail,High Net Worth
ID0169,1974-06-18,Male,USA,New York,Financial Analyst,Finance,Affluent
ID0170,1977-05-19,Male,UK,London,Data Scientist,Retail,Mass Affluent
ID0171,1990-12-26,Male,USA,Los Angeles,General Manager,Construction,Affluent
ID0172,1983-07-16,Female,Australia,Melbourne,Software Engineer,Finance,Affluent
ID0173,1963-09-07,Male,Vietnam,Hanoi,Software Engineer,Construction,High Net Worth
ID0174,1989-07-14,Female,Australia,Melbourne,Software Engineer,Education,Affluent
ID0175,1985-02-02,Male,Canada,Vancouver,Software Engineer,Finance,Mass Affluent
ID0176,1964-06-27,Female,USA,New York,Software Engineer,Retail,Mass Affluent
ID0177,1979-09-23,Male,Vietnam,Hanoi,Project Manager,IT,Mass Affluent
ID0178,1983-06-28,Female,UK,London,General Manager,Marketing,Affluent
ID0179,1966-07-05,Female,Canada,Toronto,Consultant,Retail,Mass Affluent
ID0180,1985-02-11,Male,France,Paris,General Manager,Hospitality,Mass Affluent
ID0181,1987-12-02,Female,Vietnam,Hanoi,Project Manager,Education,Affluent
ID0182,2000-07-05,Male,USA,Los Angeles,General Manager,IT,Affluent
ID0183,1961-01-02,Female,UK,Manchester,General Manager,Finance,Mass Affluent
ID0184,1981-11-13,Female,USA,New York,Sales Executive,Hospitality,High Net Worth
ID0185,1975-05-01,Male,Australia,Melbourne,Financial Analyst,Hospitality,Mass Affluent
ID0186,1986-07-05,Male,USA,New York,Consultant,Marketing,Affluent
ID0187,1971-08-05,Female,Germany,Berlin,Project Manager,Finance,High Net Worth
ID0188,1981-09-28,Male,UK,Manchester,Financial Analyst,Marketing,High Net Worth
ID0189,1994-01-12,Male,Canada,Vancouver,Data Scientist,Marketing,Mass Affluent
ID0190,1984-07-25,Female,UK,London,Software Engineer,Retail,High Net Worth
ID0191,1979-05-03,Male,Australia,Sydney,Financial Analyst,Education,Affluent
ID0192,1996-10-04,Female,Germany,Berlin,Financial Analyst,Retail,Affluent
ID0193,1980-05-17,Female,France,Paris,Consultant,Finance,Affluent
ID0194,2000-02-23,Male,Canada,Vancouver,Accountant,Finance,Affluent
ID0195,1961-08-30,Male,USA,New York,Data Scientist,Construction,High Net Worth
ID0196,1985-10-26,Female,USA,New York,Sales Executive,Construction,Mass Affluent
ID0197,1995-05-27,Female,Vietnam,Hanoi,Marketing Manager,Education,Affluent
ID0198,1980-04-06,Female,Canada,Toronto,General Manager,Finance,Mass Affluent
ID0199,1974-08-06,Female,Vietnam,Hanoi,Project Manager,Hospitality,Affluent
ID0200,1993-01-13,Female,UK,London,Sales Executive,Healthcare,High Net Worth
ID0201,1983-05-15,Male,Canada,Toronto,Sales Executive,Finance,Affluent
ID0202,1975-03-15,Female,Australia,Sydney,Project Manager,Hospitality,Affluent
ID0203,2000-12-30,Male,Australia,Sydney,Consultant,Construction,Affluent
ID0204,1995-11-15,Female,Australia,Sydney,Software Engineer,IT,High Net Worth
ID0205,1973-01-20,Female,Germany,Berlin,Project Manager,Healthcare,Affluent
ID0206,1982-09-06,Male,Canada,Vancouver,Software Engineer,Marketing,Affluent
ID0207,1974-01-27,Female,Australia,Melbourne,Accountant,Healthcare,High Net Worth
ID0208,1995-06-15,Female,Vietnam,Hanoi,HR Specialist,Hospitality,High Net Worth
ID0209,1993-09-28,Male,Canada,Toronto,General Manager,Retail,High Net Worth
ID0210,1960-12-16,Male,France,Paris,Sales Executive,Retail,High Net Worth
ID0211,1971-10-22,Female,Vietnam,Ho Chi Minh,Software Engineer,Hospitality,Mass Affluent
ID0212,1984-10-04,Male,Australia,Melbourne,HR Specialist,IT,Mass Affluent
ID0213,1967-08-21,Female,Canada,Toronto,Marketing Manager,Healthcare,Mass Affluent
ID0214,1989-11-15,Male,UK,London,Consultant,IT,Mass Affluent
ID0215,1974-05-08,Male,USA,Los Angeles,Accountant,Marketing,Affluent
ID0216,1986-06-18,Male,Germany,Berlin,Sales Executive,Healthcare,High Net Worth
ID0217,1976-03-16,Female,USA,New York,Financial Analyst,Construction,High Net Worth
ID0218,1969-04-12,Female,USA,New York,Consultant,Education,High Net Worth
ID0219,1997-03-01,Male,USA,New York,General Manager,Healthcare,Affluent
ID0220,1977-12-19,Male,Canada,Vancouver,General Manager,Finance,High Net Worth
ID0221,1973-12-10,Male,Canada,Vancouver,General Manager,Finance,Affluent
ID0222,1967-12-06,Female,Australia,Sydney,Accountant,IT,High Net Worth
ID0223,1997-08-19,Female,Vietnam,Ho Chi Minh,Project Manager,Education,High Net Worth
ID0224,1971-12-13,Female,Canada,Vancouver,Accountant,Finance,High Net Worth
ID0225,1960-06-01,Female,Canada,Vancouver,Software Engineer,Construction,Affluent
ID0226,1975-08-17,Male,UK,Manchester,HR Specialist,IT,High Net Worth
ID0227,1984-12-01,Female,Canada,Vancouver,Financial Analyst,Hospitality,Affluent
ID0228,1960-11-07,Male,Vietnam,Hanoi,HR Specialist,Healthcare,Affluent
ID0229,1986-04-20,Female,USA,New York,Software Engineer,Marketing,Mass Affluent
ID0230,1964-03-21,Male,Australia,Sydney,General Manager,Healthcare,Mass Affluent
ID0231,1971-12-22,Male,USA,Los Angeles,Software Engineer,Hospitality,Affluent
ID0232,1980-10-15,Female,UK,Manchester,Sales Executive,Finance,Mass Affluent
ID0233,1985-01-15,Female,UK,London,Sales Executive,IT,Mass Affluent
ID0234,1978-04-06,Male,Vietnam,Hanoi,Project Manager,Education,Affluent
ID0235,1980-03-08,Male,Vietnam,Ho Chi Minh,Financial Analyst,IT,Mass Affluent
ID0236,1999-10-09,Male,USA,New York,Marketing Manager,Education,Mass Affluent
ID0237,1980-12-31,Male,Australia,Melbourne,Software Engineer,Construction,Affluent
ID0238,1987-12-29,Male,UK,London,Marketing Manager,Construction,Affluent
ID0239,1973-12-30,Female,Vietnam,Hanoi,Data Scientist,Construction,High Net Worth
ID0240,1982-03-01,Female,Canada,Vancouver,Financial Analyst,Education,High Net Worth
ID0241,1987-11-06,Female,Germany,Berlin,Marketing Manager,Hospitality,Mass Affluent
ID0242,1968-10-25,Male,Vietnam,Hanoi,Data Scientist,Healthcare,High Net Worth
ID0243,1960-03-14,Female,Vietnam,Hanoi,Software Engineer,Healthcare,Affluent
ID0244,1960-09-10,Male,Australia,Melbourne,Financial Analyst,Hospitality,High Net Worth
ID0245,1991-11-01,Female,Australia,Sydney,Software Engineer,Healthcare,Affluent
ID0246,1962-05-10,Male,Canada,Toronto,Financial Analyst,Healthcare,Mass Affluent
ID0247,1965-09-14,Female,Canada,Vancouver,HR Specialist,Finance,Mass Affluent
ID0248,1998-05-14,Female,USA,New York,Consultant,Retail,Mass Affluent
ID0249,1981-04-11,Female,Australia,Melbourne,Software Engineer,Education,Affluent
ID0250,1977-02-06,Male,Canada,Toronto,Software Engineer,Healthcare,Affluent
ID0251,1964-04-28,Female,Vietnam,Hanoi,Accountant,Healthcare,Affluent
ID0252,1988-05-17,Male,USA,New York,Project Manager,Education,High Net Worth
ID0253,1963-01-06,Female,USA,New York,Software Engineer,Marketing,High Net Worth
ID0254,1972-04-03,Male,Canada,Vancouver,Sales Executive,Healthcare,Mass Affluent
ID0255,1991-05-08,Female,Australia,Sydney,Financial Analyst,Hospitality,High Net Worth
ID0256,1970-05-28,Male,Canada,Vancouver,Sales Executive,Education,Mass Affluent
ID0257,1980-01-18,Female,Vietnam,Ho Chi Minh,Consultant,Retail,Affluent
ID0258,1972-08-21,Female,USA,Los Angeles,Accountant,Retail,High Net Worth
ID0259,1962-02-21,Male,Australia,Melbourne,Marketing Manager,Construction,High Net Worth
ID0260,1965-07-31,Female,Vietnam,Ho Chi Minh,Data Scientist,Construction,High Net Worth
ID0261,1975-08-21,Male,USA,Los Angeles,General Manager,IT,Mass Affluent
ID0262,1982-12-17,Female,Canada,Vancouver,Financial Analyst,Finance,High Net Worth
ID0263,1964-06-22,Male,Vietnam,Ho Chi Minh,Project Manager,Finance,High Net Worth
ID0264,1969-08-13,Male,Canada,Toronto,Software Engineer,Hospitality,Mass Affluent
ID0265,1973-06-28,Male,Canada,Vancouver,Data Scientist,Hospitality,Mass Affluent
ID0266,1996-04-21,Male,France,Paris,Data Scientist,Education,Affluent
ID0267,1960-05-10,Male,Australia,Sydney,Accountant,IT,High Net Worth
ID0268,1969-09-24,Female,Canada,Toronto,Accountant,Marketing,Mass Affluent
ID0269,1972-06-23,Male,France,Paris,Project Manager,Education,Mass Affluent
ID0270,1962-03-11,Female,Canada,Vancouver,HR Specialist,Construction,Affluent
ID0271,1984-09-03,Female,Australia,Melbourne,Accountant,Construction,High Net Worth
ID0272,1981-08-16,Male,USA,Los Angeles,Marketing Manager,Marketing,Mass Affluent
ID0273,1980-03-28,Female,Australia,Sydney,Financial Analyst,Construction,High Net Worth
ID0274,1996-03-26,Female,Germany,Berlin,Sales Executive,IT,High Net Worth
ID0275,1984-09-16,Male,UK,London,Software Engineer,Marketing,Mass Affluent
ID0276,1960-09-17,Male,Vietnam,Ho Chi Minh,Marketing Manager,Finance,Affluent
ID0277,1969-04-25,Female,USA,Los Angeles,Consultant,Construction,High Net Worth
ID0278,1966-07-22,Female,USA,New York,Project Manager,Education,Affluent
ID0279,1986-12-08,Male,Canada,Vancouver,Software Engineer,Hospitality,High Net Worth
ID0280,1981-11-01,Male,USA,Los Angeles,Marketing Manager,Healthcare,Mass Affluent
ID0281,1976-04-15,Female,Australia,Sydney,Marketing Manager,Finance,Mass Affluent
ID0282,1985-02-20,Male,USA,New York,Data Scientist,Finance,Affluent
ID0283,1965-12-02,Female,Australia,Sydney,Sales Executive,Construction,Mass Affluent
ID0284,1984-12-01,Male,Australia,Melbourne,Software Engineer,IT,High Net Worth
ID0285,1989-03-01,Male,USA,Los Angeles,Data Scientist,Finance,Affluent
ID0286,1974-05-04,Female,France,Paris,Sales Executive,Marketing,Mass Affluent
ID0287,1961-11-10,Male,Vietnam,Hanoi,Sales Executive,Marketing,Mass Affluent
ID0288,1989-08-23,Female,Australia,Melbourne,Sales Executive,Healthcare,Affluent
ID0289,1990-08-23,Male,UK,Manchester,Marketing Manager,Hospitality,Mass Affluent
ID0290,2000-01-13,Male,USA,New York,HR Specialist,Marketing,Affluent
ID0291,1999-08-20,Male,Germany,Berlin,Project Manager,Education,Affluent
ID0292,1969-11-02,Female,USA,Los Angeles,Sales Executive,IT,Affluent
ID0293,1976-08-05,Female,Canada,Toronto,Software Engineer,Construction,Affluent
ID0294,1980-02-03,Male,UK,London,Financial Analyst,Construction,Affluent
ID0295,1974-03-03,Female,USA,New York,Data Scientist,Hospitality,High Net Worth
ID0296,2000-07-06,Female,UK,Manchester,Software Engineer,Healthcare,High Net Worth
ID0297,1982-02-20,Female,USA,New York,General Manager,Healthcare,Mass Affluent
ID0298,1994-09-08,Female,UK,London,Project Manager,Education,High Net Worth
ID0299,1996-05-10,Female,Australia,Melbourne,Marketing Manager,Education,High Net Worth
ID0300,1989-06-06,Female,France,Paris,Consultant,Retail,Affluent
ID0301,1961-10-16,Male,France,Paris,HR Specialist,Finance,High Net Worth
ID0302,1995-04-13,Female,France,Paris,Project Manager,Marketing,Affluent
ID0303,1980-11-06,Female,USA,New York,General Manager,Hospitality,High Net Worth
ID0304,1987-04-08,Female,Australia,Sydney,Marketing Manager,Retail,Affluent
ID0305,1969-01-18,Male,Canada,Toronto,HR Specialist,IT,High Net Worth
ID0306,1970-03-02,Female,UK,London,General Manager,Marketing,High Net Worth
ID0307,1966-12-29,Male,USA,Los Angeles,Financial Analyst,Construction,Mass Affluent
ID0308,1962-05-08,Male,Australia,Sydney,Accountant,Education,Mass Affluent
ID0309,1969-06-26,Female,USA,Los Angeles,Project Manager,IT,Affluent
ID0310,1992-09-27,Female,Canada,Vancouver,Marketing Manager,Marketing,High Net Worth
ID0311,1964-02-20,Male,Australia,Melbourne,Financial Analyst,Construction,Mass Affluent
ID0312,1997-08-19,Female,Canada,Toronto,HR Specialist,Marketing,Mass Affluent
ID0313,1974-12-10,Male,France,Paris,Software Engineer,Marketing,High Net Worth
ID0314,1988-02-25,Female,Germany,Berlin,General Manager,IT,Mass Affluent
ID0315,1971-05-06,Female,Australia,Sydney,Financial Analyst,Construction,Mass Affluent
ID0316,1961-05-27,Male,France,Paris,Data Scientist,Education,Mass Affluent
ID0317,1987-08-12,Female,Germany,Berlin,Project Manager,Finance,Affluent
ID0318,1991-07-24,Female,USA,New York,Project Manager,Finance,Affluent
ID0319,1989-06-26,Female,Australia,Melbourne,Data Scientist,Marketing,High Net Worth
ID0320,1999-12-08,Female,Canada,Vancouver,Sales Executive,Education,High Net Worth
ID0321,1996-06-24,Male,UK,London,Data Scientist,Marketing,Mass Affluent
ID0322,1993-06-25,Male,Canada,Vancouver,Software Engineer,Education,Affluent
ID0323,1961-07-08,Female,Canada,Vancouver,Project Manager,Hospitality,Mass Affluent
ID0324,1967-02-13,Female,Germany,Berlin,Sales Executive,IT,Mass Affluent
ID0325,1961-06-26,Female,UK,Manchester,Financial Analyst,Marketing,Mass Affluent
ID0326,1966-06-30,Male,Germany,Berlin,Accountant,Finance,Mass Affluent
ID0327,1964-03-15,Male,Australia,Sydney,HR Specialist,Finance,Affluent
ID0328,1962-01-31,Female,Canada,Toronto,HR Specialist,Construction,High Net Worth
ID0329,1984-10-29,Male,UK,Manchester,HR Specialist,Marketing,Affluent
ID0330,1965-05-12,Male,UK,London,HR Specialist,Education,Mass Affluent
ID0331,1972-05-10,Female,UK,Manchester,Software Engineer,Marketing,Mass Affluent
ID0332,1963-01-12,Female,Australia,Sydney,Marketing Manager,Marketing,Affluent
ID0333,1978-01-09,Female,Vietnam,Hanoi,Project Manager,Construction,High Net Worth
